"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"4284","Normal/Others","WS/MP015/2024-2025/134057-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road East Side in Sriram Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995818","Physical Inspection"
"4285","Normal/Others","WS/MP015/2024-2025/134058-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road North Side in Udhayam Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995768","Physical Inspection"
"4286","Normal/Others","WS/MP015/2024-2025/134059-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street in Udhayam Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995961","Physical Inspection"
"4287","Normal/Others","WS/MP015/2024-2025/134060-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Abdulkalam Street South Side in Thinamani Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995312","Physical Inspection"
"4288","Normal/Others","WS/MP015/2024-2025/134061-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road West Side in Sriram Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","996093","Physical Inspection"
"4289","Normal/Others","WS/MP015/2024-2025/134062-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street in Abdulkalam Street in Thinamani Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995966","Physical Inspection"
"4290","Normal/Others","WS/MP015/2024-2025/134063-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road South Side in Udhayam Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","17-Oct-2024","995021","Physical Inspection"
"4291","Normal/Others","WS/MP015/2024-2025/134064-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Vallaba Ganapathi Street West Side in Thinamani Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995281","Physical Inspection"
"4292","Normal/Others","WS/MP015/2024-2025/134065-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Thendral Nagar in Rengarajapuram,Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","994379","Physical Inspection"
"4293","Normal/Others","WS/MP015/2024-2025/134066-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at East Street in Rengarajapuram, Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","994546","Physical Inspection"
