"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"235","Normal/Others","WS/MP190/2023-2024/1877-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"236","Normal/Others","WS/MP190/2023-2024/1878-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"237","Normal/Others","WS/MP190/2023-2024/1881-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"238","Normal/Others","WS/MP190/2023-2024/1882-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"239","Normal/Others","WS/MP190/2023-2024/1883-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"240","Normal/Others","WS/MP190/2023-2024/1884-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"241","Normal/Others","WS/MP190/2023-2024/1885-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"242","Normal/Others","WS/MP190/2023-2024/1896-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"243","Normal/Others","WS/MP190/2023-2024/1897-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"244","Normal/Others","WS/MP190/2023-2024/1898-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast  light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"245","Normal/Others","WS/MP190/2023-2024/1899-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"246","Normal/Others","WS/MP190/2023-2024/1900-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"247","Normal/Others","WS/MP190/2023-2024/1905-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"248","Normal/Others","WS/MP190/2023-2024/1906-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"249","Normal/Others","WS/MP190/2023-2024/1907-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"250","Normal/Others","WS/MP190/2023-2024/1908-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"251","Normal/Others","WS/MP190/2023-2024/1909-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"252","Normal/Others","WS/MP190/2023-2024/1910-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"253","Normal/Others","WS/MP190/2023-2024/1911-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"254","Normal/Others","WS/MP190/2023-2024/1912-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"255","Normal/Others","WS/MP190/2023-2024/1913-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"256","Normal/Others","WS/MP190/2023-2024/1914-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"257","Normal/Others","WS/MP190/2023-2024/1915-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"258","Normal/Others","WS/MP190/2023-2024/1916-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"259","Normal/Others","WS/MP190/2023-2024/1917-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"260","Normal/Others","WS/MP190/2023-2024/1918-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"261","Normal/Others","WS/MP190/2023-2024/1919-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"262","Normal/Others","WS/MP190/2023-2024/1921-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast Light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"263","Normal/Others","WS/MP190/2023-2024/1922-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"264","Normal/Others","WS/MP190/2023-2024/1923-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"265","Normal/Others","WS/MP190/2023-2024/1924-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"266","Normal/Others","WS/MP190/2023-2024/1925-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"267","Normal/Others","WS/MP190/2023-2024/1926-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"268","Normal/Others","WS/MP190/2023-2024/1927-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"269","Normal/Others","WS/MP190/2023-2024/1928-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"270","Normal/Others","WS/MP190/2023-2024/1929-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"271","Normal/Others","WS/MP190/2023-2024/1930-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"272","Normal/Others","WS/MP190/2023-2024/1942-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"273","Normal/Others","WS/MP190/2023-2024/1943-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"274","Normal/Others","WS/MP190/2023-2024/1944-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"275","Normal/Others","WS/MP190/2023-2024/1945-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"276","Normal/Others","WS/MP190/2023-2024/1946-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"277","Normal/Others","WS/MP190/2023-2024/1947-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"278","Normal/Others","WS/MP190/2023-2024/1948-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"279","Normal/Others","WS/MP190/2023-2024/1949-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"280","Normal/Others","WS/MP190/2023-2024/1950-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"281","Normal/Others","WS/MP190/2023-2024/1951-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"282","Normal/Others","WS/MP190/2023-2024/1952-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"283","Normal/Others","WS/MP190/2023-2024/1953-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"284","Normal/Others","WS/MP190/2023-2024/1974-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"285","Normal/Others","WS/MP190/2023-2024/1975-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"286","Normal/Others","WS/MP190/2023-2024/1976-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"287","Normal/Others","WS/MP190/2023-2024/1977-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"288","Normal/Others","WS/MP190/2023-2024/1978-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"289","Normal/Others","WS/MP190/2023-2024/1979-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"290","Normal/Others","WS/MP190/2023-2024/1980-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"291","Normal/Others","WS/MP190/2023-2024/1981-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"292","Normal/Others","WS/MP190/2023-2024/1982-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"293","Normal/Others","WS/MP190/2023-2024/1983-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"294","Normal/Others","WS/MP190/2023-2024/1984-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"295","Normal/Others","WS/MP190/2023-2024/1985-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"296","Normal/Others","WS/MP190/2023-2024/1986-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","30-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"297","Normal/Others","WS/MP190/2023-2024/2079-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"298","Normal/Others","WS/MP190/2023-2024/2080-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"299","Normal/Others","WS/MP190/2023-2024/2081-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"300","Normal/Others","WS/MP190/2023-2024/2082-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"301","Normal/Others","WS/MP190/2023-2024/2083-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"302","Normal/Others","WS/MP190/2023-2024/2086-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"303","Normal/Others","WS/MP190/2023-2024/2087-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast lghit","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"304","Normal/Others","WS/MP190/2023-2024/2088-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"305","Normal/Others","WS/MP190/2023-2024/2089-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"306","Normal/Others","WS/MP190/2023-2024/2090-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi high mast light","01-Jul-2023","24-Aug-2023","243000","Physical Inspection"
"307","Normal/Others","WS/MP081/2023-2024/2097-Renovation of ponds and lakes","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of bathing ghat in pahan toli, argora ward no. 35 in ranchi nagar nigam","02-Jul-2023","26-Sep-2023","500000","Physical Inspection"
"308","Normal/Others","WS/MP081/2023-2024/2098-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of community hall in first floor of marriage hall at ranger morcha, pundag road, argora ward no. -36 under ranchi nagar nigam","02-Jul-2023","26-Sep-2023","1000000","Physical Inspection"
"309","Normal/Others","WS/MP106/2023-2024/2357-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram panchayat Par, janpad Panchayat Ghatigaon, Par-Banvar Damal Road se Pohap Singh Kirak ke Farm house ki aor Murmikrat Road Nirman Kary, Vidhansabha Bhitarvar, District Gwalior M.P.","05-Jul-2023","25-Feb-2024","1000000","Work Completed"
"310","Normal/Others","WS/MP106/2024-2025/2358-Construction of buildings for community cultural activities","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Khapagwari, Janpad Panchayat Jabalpur ke gram Khapagwari ke Gaurishankar dhar ke pas Rangmanch Nirman kary, Vidhan sabha Bargi, District Jabalpur (Letter no. 3135/23 at column no.1)","05-Jul-2023","25-Jul-2024","300000","Vendor Identification"
"311","Normal/Others","WS/MP106/2024-2025/2360-Construction of buildings for community cultural activities","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Khapagwari, Janpad Panchayat Jabalpur ke gram Khapagwari me Rangmanch Nirman kary, Vidhan sabha Bargi, District Jabalpur (Letter no. 3135/23 at column no.2)","05-Jul-2023","25-Jul-2024","200000","Vendor Identification"
"312","Normal/Others","WS/MP106/2023-2024/2361-Construction of buildings for community cultural activities","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Nanhakheda, Janpad Panchayat Jabalpur ke gram Seoni Tola me Rangmanch Nirman kary, Vidhan sabha Bargi, District Jabalpur (Letter no. 3135/23 at column no.3)","05-Jul-2023","16-Mar-2024","300000","Physical Inspection"
"313","Normal/Others","WS/MP106/2023-2024/2362-Installing hand pumps","Madhya Pradesh","BHIND(DISTRICT COLLECTOR BHIND_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","One Handpump installing at Gram panchyat Niwsai, Block Raon near Gaushala & infront of flour mill, District Bhind","05-Jul-2023","07-Oct-2023","120000","Work partially Completed"
"314","Normal/Others","WS/MP106/2023-2024/2363-Installing hand pumps","Madhya Pradesh","BHIND(DISTRICT COLLECTOR BHIND_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","One Handpump installing at Gram panchyat Niwsai, Block Raon near Mata Temple, Hirde ka Pura, District Bhind","05-Jul-2023","07-Oct-2023","120000","Work Completed"
"315","Normal/Others","WS/MP203/2023-2024/2995-Construction of rooms and halls in school and colleges","Uttar Pradesh","Bara Banki(DISTRICT MAGISTRATE BARABANKI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","???: ??????? ?????? ????? ???? ?????, ???????? ???, ????????, ????? ??????  ???????? : ????? ??? ???????","07-Jul-2023","20-Jan-2024","988278","Physical Inspection"
"316","Normal/Others","WS/MP007/2023-2024/3129-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 27 Sri Nagar Colony Road No. 3 Near Arjun Verma House , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"317","Normal/Others","WS/MP007/2023-2024/3130-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 29 Madhukam Behind Sukhdeo Nagar Thana , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
