"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"206","Normal/Others","WS/MP761/2024-2025/144989-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of C.C Road from H.No. 11-1-512 to 11-1-517 Opp Seetharamanjaneya Temple","Arvind Dharmapuri","NIZAMABAD","N/A","08-Oct-2024","400000"
"207","Normal/Others","WS/MP393/2024-2025/145379-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MP LADS 2022-23) Constriction of  Near Community Hall in Dining Hall in Alangadu Village, Alangadu Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","08-Oct-2024","299787"
"208","Normal/Others","WS/MP017/2024-2025/143499-Construction of veterinary hospitals and dispensaries","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Compound Wall and Other Work In rural Vetrinery Dispencery at Velanchery Village","S. Jagathrakshakan","ARAKKONAM","Images","09-Oct-2024","996610"
"209","Normal/Others","WS/MP761/2024-2025/146272-Construction of boundary walls of existing public and community buildings","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Boundary Wall to existing community hall near Abhayanjaneya Swamy Temple","Arvind Dharmapuri","NIZAMABAD","N/A","09-Oct-2024","400000"
"210","Normal/Others","WS/MP761/2024-2025/144958-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of CC road from Pitla Nehru (H) to Pamula Gangaram House","Arvind Dharmapuri","NIZAMABAD","N/A","09-Oct-2024","300000"
"211","Normal/Others","WS/MP761/2024-2025/144994-Construction of boundary walls of existing public and community buildings","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Compound Wall to existing Community Hall in Gouda Wada","Arvind Dharmapuri","NIZAMABAD","N/A","09-Oct-2024","400000"
"212","Normal/Others","WS/MP761/2024-2025/144938-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of community hall","Arvind Dharmapuri","NIZAMABAD","N/A","09-Oct-2024","399115"
"213","Normal/Others","WS/MP761/2024-2025/144960-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hal in SC Wada","Arvind Dharmapuri","NIZAMABAD","N/A","09-Oct-2024","491636"
"214","Normal/Others","WS/MP494/2024-2025/137152-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC ROAD IN SHAMSHABAD ROAD NEHARU ENCLAVE FARAHAN NITIN GUPTA HOUSE TO CHHADAMI LAL RATHOR HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1978059"
"215","Normal/Others","WS/MP494/2024-2025/137031-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC Road From Bhuri Singh Jain House to Ram Nivas House in Nagla Taj Etmadpur","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","551677"
"216","Normal/Others","WS/MP494/2024-2025/137032-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC Road From Satis Chandra Savita house to Bhuri Singh House","Prof SP Singh Baghel","AGRA(SC)","Images","15-Dec-2025","152925"
"217","Normal/Others","WS/MP494/2024-2025/137153-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC ROAD IN NAUPURA WARD 59 FROM GURU PRASAD HOUSE TO KHEM CHAND HOUSE AND BAKIL HOUSE TO OM SHANTI ASHRAM","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","2247147"
"218","Normal/Others","WS/MP494/2024-2025/137154-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN BANS DALEL FROM DIWAN SINGH HOUSE TO NIHAL SINGH HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","1504362"
"219","Normal/Others","WS/MP494/2024-2025/137151-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN RAJEEV NAGAR FROM SONU HOUSE TO TILLU HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1991220"
"220","Normal/Others","WS/MP494/2024-2025/137029-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Construction of CC road from Pappu Singh House to Manoj House In Nagla Taj Etmadpur","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","513114"
"221","Normal/Others","WS/MP494/2024-2025/137030-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC Road From Dr Goyal House to Bhupendra House in Nagla Mohan Lal Ayush Bihar Narayach","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","629490"
"222","Normal/Others","WS/MP761/2024-2025/145001-Construction of buildings for community cultural activities","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Building for Cultural Activities at SC Wada","Arvind Dharmapuri","NIZAMABAD","N/A","10-Oct-2024","400000"
"223","Normal/Others","WS/MP761/2024-2025/144962-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall in Munnurukapu wada","Arvind Dharmapuri","NIZAMABAD","N/A","10-Oct-2024","450000"
"224","Normal/Others","WS/MP18182/2024-2025/134223-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of surplus weir Apron of Periya Panayankulam  in Nainaragaram Village of Kadayanallur Union.","DR RANI SRI KUMAR","TENKASI(SC)","Images","10-Oct-2024","2493302"
"225","Normal/Others","WS/MP18182/2024-2025/134225-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of protective wall in Right side weir of Pattakulam in Sernthamangalam Village of Melaneelithanallur Union.","DR RANI SRI KUMAR","TENKASI(SC)","Images","10-Oct-2024","2482079"
"226","Normal/Others","WS/MP393/2024-2025/144442-Installing community drinking water plants","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing in (MPLADS 2021-22) R.O.Plant near Gowri Vinayagar Kovil, Thambipatti, Thirupathur Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","10-Oct-2024","350000"
"227","Normal/Others","WS/MP494/2024-2025/137155-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC ROAD IN BALAJI DHAM MANDIR TO KRASHANA EMPAYAR","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","2613400"
"228","Normal/Others","WS/MP494/2024-2025/137156-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","IN VILLAGE TEHU PNB TO MUKESH GUPTA HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","04-Jun-2025","968370"
"229","Normal/Others","WS/MP494/2024-2025/137205-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN RASHMI BIHAR SHAMSHABAD ROAD FROM BHANU PRATAP SINGH HOUSE TO BANVARI LAL HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1157238"
"230","Normal/Others","WS/MP494/2024-2025/137197-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN VILLAGE BARAHAN SAHPHUT FROM PURAN SINGH HOUSE TO BABURAM HOUSE BYA CHHITTO HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","01-Jul-2025","1601792"
"231","Normal/Others","WS/MP494/2024-2025/137198-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN VISHNU BIHAR PRAVESH KUMAR HOUSE TO SUNIL PARMAR HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","04-Jun-2025","445492"
"232","Normal/Others","WS/MP494/2024-2025/137199-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK FROM PAKKI SADAK TO JOGENDRA BAGHEL IN SHERKHAN MAJARA PACHAS BIGHA","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1119362"
"233","Normal/Others","WS/MP494/2024-2025/137202-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN PIPARIYA FROM RAJKUMAR HOUSE TO GAS GODAM","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1269794"
"234","Normal/Others","WS/MP494/2024-2025/137203-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN SHASTRI NAGAR Dr RAJENDRA MILAN TO Dr RC GUPTA HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","2391853"
"235","Normal/Others","WS/MP494/2024-2025/137206-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN BURJ KHANJAR ETMADPUR FROM VINOD KUMAR HOUSE TO Dr SUBHASH CHANDRA HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1287979"
"236","Normal/Others","WS/MP494/2024-2025/137207-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN VILLAGE LAKHANAMAI FROM YADRAM BAGHEL TO SEVARAM BAGHEL HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","554942"
"237","Normal/Others","WS/MP494/2024-2025/137208-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN GADHI BHADAURIYA LOKESH SHARMA TO SUNITA SHARMA HOUSE 180 MEETAR","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","2076979"
"238","Normal/Others","WS/MP494/2024-2025/137200-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN MUSTAFA QUATAR JANATA COLONY FROM GOPAL BABA HOUSE TO JHAMMAN MANDIR","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","2163229"
"239","Normal/Others","WS/MP18391/2024-2025/140271-Purchase of ambulances (Four, three and two wheelers)","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Purchase of Community Ambulances 6 (six) Nos.","S SUPONGMEREN JAMIR","NAGALAND","Images","02-Dec-2024","16912380"
"240","Normal/Others","WS/MP517/2024-2025/137541-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","1. Nayabas shamshan ghat 2- Panchayat Ghar Nagala Shadi 3- Amadpur Near Munnalal House 4 Nayabans Near Tukman Singh House 5 Badovara Khurd near Shiv Kumar House 6- In Sudrai Near Srinivas House 7- In Dauki Near Rajkumar Pundir 8- Dauki Near Dixit Meraj home 9- Gadhi Jahan Singh on Chauraha As Old Recomandation no 7896 Sr no is 5,7,8,9,10,11,19,23,24","Rajkumar Chahar","FATEHPUR SIKRI","Images","12-Mar-2025","2242634"
"241","Normal/Others","WS/MP517/2024-2025/137540-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Fatehabad me gram suraj malikpura me potiram ki thar, nagar chand bich chauraha, pokhariya neecha khera near banti house, swara me main choraha, harkapura near munnalala house, sutahara near ajendra house,  jamuna gali lotan singh house, rampur harsukh pipal chauraha, ratan devi school yogesh chauhan house, teketpura khender near shyambir chauhan, ahirpura near school, garhi jahan near ajmer singh, lalpura mauja baghel basti, fatehabad near kailas oldsrno 1,2,3,4,6,12,13,14,15,16,17,18,20,21","Rajkumar Chahar","FATEHPUR SIKRI","Images","12-Mar-2025","3489567"
"242","Normal/Others","WS/MP517/2024-2025/137539-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","dhimsri near bhanu sharma house, In chachipura khander near shanti devi house, Pitawali pokhar station curve,Bhilpura near ramnivas jaudan house,In teeketpura near naresh dhakare house,barana near girraj verma house,pinnapura Ai near Santosh Shastri house Behadi near sachivalay,chatariya pura ravindra baghel house repura yogendra sikarwar house,purani tahsil fatehabad near babita chauhan house,mohammadpur me near narendra pal singh house old no 7896 srno 22,25,26,28,29,30,31,32,34,36,37,38","Rajkumar Chahar","FATEHPUR SIKRI","Images","12-Mar-2025","2740998"
"243","Normal/Others","WS/MP517/2024-2025/137542-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","1- In Village Toola Near Hemu Sharma House 2- Garhi Thakur Das Near Ramu Dhakare House 3 Nagala Patam Near Yogesh House 4- Kaulari Near Daya Shankar House 5- In Tondara Near Nagendra House 6- In Chitora Near Vijay Pal Pradhan House 7- Dharmpal Gadhi Near Surendra House As Old Recomandation no 7896 Sr no is 27,33,35,39,40,41,42","Rajkumar Chahar","FATEHPUR SIKRI","Images","12-Mar-2025","1744271"
"244","Normal/Others","WS/MP494/2024-2025/137209-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN BHAWAIN FROM PRATHMIK VIDHYALAY TO DABAR ROAD","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1477295"
"245","Normal/Others","WS/MP494/2024-2025/137210-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN BAGHEL COLONY FROM BHUP SINGH BAGHEL TO PANDIT JI HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","15-Dec-2025","1210287"
"246","Normal/Others","WS/MP494/2024-2025/137211-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN TEDI BAGHIYA DURGA NAGAR VIDHYA NAGAR FROM BABU RAM TO PREM SINGH HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","15-Dec-2025","951668"
"247","Normal/Others","WS/MP494/2024-2025/137212-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN SEVARA FROM CHANDRABHAN TYAGI TO RAM KUMAR HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","2004148"
"248","Normal/Others","WS/MP494/2024-2025/137213-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN GUMMAT UKHRRA NEAR GYAN BHARATI INTER COLLEGE LOHE KE KHAMBE VALA HISSA","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1199684"
"249","Normal/Others","WS/MP494/2024-2025/137214-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN VILLAGE NAGALA HARIRAM FROM BIJENDRA TYAGI TO JITENDRA HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","15-Dec-2025","722986"
"250","Normal/Others","WS/MP494/2024-2025/137215-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN TEDI BAGIYA RADHA NAGAR COLONY JD FARM HOUSE TO DEVENDRA BAGHEL HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","2794931"
"251","Normal/Others","WS/MP494/2024-2025/137216-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN VILLAGE BADA GUDHA FROM GHANSHYAM TO PRADEEP BAGHEL HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","1668177"
"252","Normal/Others","WS/MP494/2024-2025/137217-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CC WORK IN KAILASHPURI FROM VIPIN SHIVHARE TO ARCHANA GARG HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","25-Apr-2025","1265891"
"253","Normal/Others","WS/MP494/2024-2025/137218-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","INSTALLATION OF SUMBARSEBIL IN VILLAGE AGARWARNEAR KHUSHI RAM SO SRI JALIM SINGH HOUSE","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","263973"
"254","Normal/Others","WS/MP494/2024-2025/137219-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","NSTALLATION OF SUMBARSEBIL IN VILLAGE BAS DALEL NEAR INTER COLLEGE","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","263851"
"255","Normal/Others","WS/MP494/2024-2025/137220-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","NSTALLATION OF SUMBARSEBIL IN VILLAGEGADHI PRATHAVI ETMADPUR","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","263948"
"256","Normal/Others","WS/MP494/2024-2025/137221-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","NSTALLATION OF SUMBARSEBIL IN IN SULABH PURAM BODALA ROAD NEAR NATCHAR PARK","Prof SP Singh Baghel","AGRA(SC)","Images","04-Jun-2025","264053"
"257","Normal/Others","WS/MP494/2024-2025/137222-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","NSTALLATION OF SUMBARSEBIL IN Dr AMBEDKAR NAGAR VAALI MATA TEDI BAGHIYA HATRASH ROAD AGRA","Prof SP Singh Baghel","AGRA(SC)","Images","21-Jan-2026","263761"
"258","Normal/Others","WS/MP494/2024-2025/137223-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","NSTALLATION OF SUMBARSEBIL IN VILLAGE SATOLI ETMADPUR SHIV MANDIR MOHALLA BAGHELAN","Prof SP Singh Baghel","AGRA(SC)","Images","15-Dec-2025","263802"
"259","Normal/Others","WS/MP18074/2024-2025/138472-Construction of public libraries and reading rooms","Jharkhand","SIMDEGA(Deputy Commissioner simdega_IDA)","Construction of library building near (Maktab) Madrasa in Khairantoli under Simdega block.","KALI CHARAN MUNDA","KHUNTI(ST)","N/A","18-May-2025","750000"
"260","Normal/Others","WS/MP18074/2024-2025/138464-Development of playfields and sports grounds","Jharkhand","SIMDEGA(Deputy Commissioner simdega_IDA)","Construction work of playground at Ursaline Convent Samtoli in the town of Simdega block.","KALI CHARAN MUNDA","KHUNTI(ST)","N/A","18-May-2025","1300000"
"261","Normal/Others","WS/MP18074/2024-2025/138466-Providing drains and gutters for public drainage","Jharkhand","SIMDEGA(Deputy Commissioner simdega_IDA)","Construction of drain from Turi Toli resident Sandeep Kumar's house towards Guddu Turi's house in Konjoba Panchayat of Kersai block.","KALI CHARAN MUNDA","KHUNTI(ST)","N/A","18-May-2025","400000"
"262","Normal/Others","WS/MP18278/2024-2025/137692-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","GRAM RAJABHATHA GRAM PANCHAYAT BELHADIH ME C.C. ROAD NIRMARAN (RAHUL RATRE GHAR SE SURESH GHR KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","21-Dec-2024","999869"
"263","Normal/Others","WS/MP18278/2024-2025/134658-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","CC Road- From the main road towards Sandhya Home.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","30-Jan-2025","999744"
"264","Normal/Others","WS/MP18391/2024-2025/140325-Creation of new ponds","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Construction of fishery pond","S SUPONGMEREN JAMIR","NAGALAND","N/A","02-Dec-2024","500000"
"265","Normal/Others","WS/MP18391/2024-2025/140306-Renovation of ponds and lakes","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Construction of community fishery pond","S SUPONGMEREN JAMIR","NAGALAND","N/A","02-Dec-2024","1000000"
"266","Normal/Others","WS/MP761/2024-2025/147237-Construction of common work sheds/ common covered sitting area","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan Shed near Peddamma Thalli Temple","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","398457"
"267","Normal/Others","WS/MP761/2024-2025/147235-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of CC road from Mamulla Pedda Pothanna (H) to Allulla Narayana (H)","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","294440"
"268","Normal/Others","WS/MP761/2024-2025/147238-Construction of rooms and halls in school and colleges","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of hall in TSRS&JC (G) Bodhan at Yedapally","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","494999"
"269","Normal/Others","WS/MP761/2024-2025/146604-Construction of common work sheds/ common covered sitting area","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan shed near Onte Hanuman mandir","Arvind Dharmapuri","NIZAMABAD","N/A","26-Jul-2025","400000"
"270","Normal/Others","WS/MP761/2024-2025/147241-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall in Bit-1","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","492939"
"271","Normal/Others","WS/MP761/2024-2025/146605-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall- Bit 2","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","399551"
"272","Normal/Others","WS/MP761/2024-2025/146607-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Mahila Bhavan near Shabarimatha Aashramam, Nyalkal road","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","300000"
"273","Normal/Others","WS/MP761/2024-2025/146606-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall in Reddy Colony","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","494999"
"274","Normal/Others","WS/MP761/2024-2025/147242-Providing drains and gutters for public drainage","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of CC Drain in Indiramma Colony","Arvind Dharmapuri","NIZAMABAD","N/A","16-Oct-2024","300000"
"275","Normal/Others","WS/MP393/2024-2025/143044-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS 2023-24)Near TV Room Paver Block Road in Peyanpatti Village, Koviloor Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","16-Oct-2024","199871"
"276","Normal/Others","WS/MP393/2024-2025/143046-Construction of public toilets and bathrooms","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS2023-24) Near Sivankovil in Bathtube in Kmbanur Village, Kambanur Panchayat. Kallal block","Shri Karti P Chidambaram","SIVAGANGA","Images","16-Oct-2024","149904"
"277","Normal/Others","WS/MP761/2024-2025/145859-Construction of boundary walls of existing public and community buildings","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Compound wall to PACS Bhupathipur","Arvind Dharmapuri","NIZAMABAD","Images","18-Oct-2024","400000"
"278","Normal/Others","WS/MP18278/2024-2025/142724-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","GRAM PANCHAYAT CHORBHATTI ME C.C. ROAD NIRMARAN(MEN ROAD SE AAGE KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","10-Jan-2025","500000"
"279","Normal/Others","WS/MP18278/2024-2025/134629-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","CC Road - Yaadram varman Home to towards Gothhan.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","17-Dec-2024","1000000"
"280","Normal/Others","WS/MP18278/2024-2025/135168-Street lights","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Highmast solar Street light- Two piece","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","09-Dec-2024","993000"
"281","Normal/Others","WS/MP18278/2024-2025/135170-Street lights","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Highmast Solar Street light- Two Piece.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","09-Dec-2024","993000"
"282","Normal/Others","WS/MP18278/2024-2025/135169-Street lights","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Highmast  Solar Street light- Two Piece","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","09-Dec-2024","993000"
"283","Normal/Others","WS/MP18152/2024-2025/133702-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Middle school Chahal","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-May-2025","84500"
"284","Normal/Others","WS/MP18278/2024-2025/141837-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","GRAM UPANI ME C.C. ROAD NIRMARAN(KUSHU YADAW GHAR SE MAJHAKHOL SYAM KUMAR MALIGHAR KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","20-Aug-2025","999127"
