"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1985","Normal/Others","WS/MP18161/2024-2025/138074-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Interlocking sadak Nirman karya DharmSingh jatav ke Ghar se Ashok ke Makan ki or may gali jatav mohalla Luhasa work agency GP Luhasa","SANJNA JATAV","BHARATPUR(SC)","Images","07-Aug-2026","599744"
"1986","Normal/Others","WS/MP727/2024-2025/142174-Construction of additional rooms and halls in the existing public and community building","Rajasthan","KOTA(DISTRICT COLLECTOR KOTA_IDA)","Shri Jingar Samaj Panchayat Society Kota K Chatrawas Mai Kamre Nirman Ka Karya. Place-Ocf 6/2, Subhash Nagar, 2nd Kota,  Recommended Amount- 10.00 Lakh Rs., Implementing Agency - Uit Kota (05 Dated 18.09.2024)","Om Birla","KOTA","N/A","31-Mar-2026","999278"
"1987","Normal/Others","WS/MP858/2024-2025/139546-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Construction of CC ROAD FROM FARING HOUSE TO CHARKALGRAM HIGH SCHOOL AT KHALA.EXECUTING AGENCY WILL BE ,EO NANOOR PANCHAYAT SAMITI.","Asit Kumar Mal","BOLPUR(SC)","Images","03-Mar-2025","5023131"
"1988","Normal/Others","WS/MP18161/2024-2025/138109-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","CC interlocking eat kharanja Nirman karya RatanSingh ke Ghar se Mangal ke Ghar ki or Avam vibhinn galiyan BhiriGanj work agency GP khemra","SANJNA JATAV","BHARATPUR(SC)","Images","02-Jul-2025","399709"
"1989","Normal/Others","WS/MP716/2024-2025/140237-Construction of public irrigation facilities","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","For Laying Rcc Pipeline to Sukhwinderpal Singh Field At Village Bhullar Wala","Smt Harsimrat Kaur Badal","BHATINDA","Images","01-Feb-2025","373000"
"1990","Normal/Others","WS/MP858/2024-2025/144037-Street lights","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Installation 4 no highmast light at PAPURI,KHALA AND CHARKALGRAM, Executing Agency will be EO NANOOR PANCHAYAT SAMITY.","Asit Kumar Mal","BOLPUR(SC)","Images","15-Jan-2025","1157828"
"1991","Normal/Others","WS/MP444/2024-2025/146526-Construction of bus-sheds or bus-stops","Madhya Pradesh","HARDA(District Collector Harda_IDA)","L.No. 184 Dt 07.10.2024 Gram Panchayat Mediyakhedi ke gram Baliyakhedi me","Durga Das Uikey","BETUL(ST)","Images","23-Jul-2025","259942"
"1992","Normal/Others","WS/MP444/2024-2025/146518-Construction of bus-sheds or bus-stops","Madhya Pradesh","HARDA(District Collector Harda_IDA)","L.No. 184 Dt 07.10.2024 Gram Panchayat Khedinema ke gram Bhamori me","Durga Das Uikey","BETUL(ST)","Images","23-Jul-2025","259942"
"1993","Normal/Others","WS/MP829/2024-2025/139362-Construction of boundary walls of existing public and community buildings","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Construction of Boundary wall at Chitnan Malpara Madrasa","Smt Sajda Ahmed","ULUBERIA","Images","28-Feb-2025","500000"
"1994","Normal/Others","WS/MP18213/2024-2025/155760-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat Achalpur ke jori nagala mein Deepak fouji ke ghar ke pass tirahe par sarwajanik sthal par, Mo 8630143474","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"1995","Normal/Others","WS/MP18213/2024-2025/155762-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Gram panchayat mein Hazaratpur mein Veerpal Lodhi ke ghar ke pass, Mo 6399069508","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"1996","Normal/Others","WS/MP18213/2024-2025/155763-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat mein atranji kheda prangan par ,Sumit Mo 9548181047","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"1997","Normal/Others","WS/MP859/2024-2025/150947-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF BITUMINOUS ROAD FROM ADAN ROTARY HEALTH CENTER TO GHOSH PARA KALITALA VIA ANNOPURNA PRIMARY SCHOOL AT NAITY G.P UNDER  CHANDITALA – II PANCHAYAT SAMITI, DIST- HOOGHLY.","Kalyan Banerjee","SREERAMPUR","Images","26-Mar-2025","869502"
"1998","Normal/Others","WS/MP18213/2024-2025/155764-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Gram Panchayat Sheorai mein Jalim Singh Kushwaha ke ghar ke pass chaurahe par Mo 8937851252","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"1999","Normal/Others","WS/MP18213/2024-2025/155765-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat mein suratpur mafi mein Pankaj Baghel ke ghar ke pass Chaurahe par Mo 8636858408","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2000","Normal/Others","WS/MP18213/2024-2025/155766-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat Siraon mein Praveen Kushwaha ke ghar ke pass tirahe par ,Mo 9568491107","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2001","Normal/Others","WS/MP18138/2024-2025/143315-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of PCC Flooring on Govt. Middle School Road","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","16-May-2025","300000"
"2002","Normal/Others","WS/MP18213/2024-2025/155767-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat Amritpur mein Rajeev Kumar ke ghar ke pass tirahe par , Mo 9719603282","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2003","Normal/Others","WS/MP18213/2024-2025/155768-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat Akhtauli ke nayabans mein Anil Yadav ke ghar ke pass Sarwajanik Sthal par Mo 9412213333","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
