"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7054","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18097/2025-2026/181087","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","SHAFI PARAMBIL","VADAKARA","26-May-2026","National Institute of Physical Medicine and Rehabilitation","Payment Success","70000"
"7055","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18097/2025-2026/181092","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","SHAFI PARAMBIL","VADAKARA","26-May-2026","National Institute of Physical Medicine and Rehabilitation","Payment Success","70000"
"7056","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18097/2025-2026/181089","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","SHAFI PARAMBIL","VADAKARA","23-May-2026","National Institute of Physical Medicine and Rehabilitation","Payment Success","70000"
"7057","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18097/2025-2026/181086","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","SHAFI PARAMBIL","VADAKARA","25-May-2026","National Institute of Physical Medicine and Rehabilitation","Payment Success","70000"
"7058","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18097/2025-2026/181088","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","SHAFI PARAMBIL","VADAKARA","25-May-2026","National Institute of Physical Medicine and Rehabilitation","Payment Success","70000"
"7059","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18097/2025-2026/181085","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","SHAFI PARAMBIL","VADAKARA","25-May-2026","National Institute of Physical Medicine and Rehabilitation","Payment Success","70000"
"7060","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18097/2025-2026/181084","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","SHAFI PARAMBIL","VADAKARA","15-May-2026","National Institute of Physical Medicine and Rehabilitation","Payment Success","70000"
"7061","Gujarat","Construction of shelters for animals","WS/MP584/2025-2026/235694","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","03-Jul-2026","MOKHA GRAM PANCHYAT","Payment Success","500000"
"7062","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP584/2025-2026/191154","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","04-Jul-2026","KARAGHOGHA","Payment Success","220000"
"7063","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/199721","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","14-May-2026","Dashmesh Sanitary Store","Payment Success","165"
