"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"4393","Normal/Others","WS/MP166/2024-2025/125561-Construction of rooms and halls in school and colleges","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Construction of 16 Rooms at Yamuna Hostel First Floor, Veterinary college hospital and Research centre, Namakkal","Shri K.R.N. Rajeshkumar (2022-28) (NaN-NaN)","Elected MP","Images","02-Apr-2025","7250216"
"4394","Normal/Others","WS/MP18374/2024-2025/150298-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. BC Boys Hostel, Musheerabad","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4395","Normal/Others","WS/MP18374/2024-2025/145658-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5KV Solar Power System at Govt. SC Hostel, Secunderabad -1","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4396","Normal/Others","WS/MP18374/2024-2025/145669-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5KV Solar Power System at Govt. SC College Boys Hostel, Ameerpet","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4397","Normal/Others","WS/MP18374/2024-2025/150303-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. B.C Boys College Hostel, Jubilee Hills","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4398","Normal/Others","WS/MP18374/2024-2025/150302-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. B.C Boys College Hostel, Khairtabad","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4399","Normal/Others","WS/MP18374/2024-2025/150301-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt B.C Boys College Hostel, Malakpet (Amberpet)","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4400","Normal/Others","WS/MP18374/2024-2025/150300-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt.BC Boys Hostel, Sanath nagar","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4401","Normal/Others","WS/MP18374/2024-2025/150309-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. B.C Girls College Hostel, Jubilee Hills","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4402","Normal/Others","WS/MP18374/2024-2025/150308-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. BC Boys College Hostel, Secunderabad(New)","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4403","Normal/Others","WS/MP18374/2024-2025/150307-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt.BC Boys College Hostel, Amberpet (Old)","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4404","Normal/Others","WS/MP892/2024-2025/141885-Purchase of vans and buses for educational institutions","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Purchase of Transport Vehicle at Jawahar Navodaya Vidyalaya, Kevadia Colony, Distt. Narmada","Shri S. Jaishankar (2023-29) (NaN-NaN)","Elected MP","Images","18-Aug-2025","923357"
"4405","Normal/Others","WS/MP18374/2024-2025/150305-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt.BC Boys College Hostel, Amberpet","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4406","Normal/Others","WS/MP18374/2024-2025/150304-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. BC Boys College Hostel, Secunderabad Contonment","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4407","Normal/Others","WS/MP18374/2024-2025/150313-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. BC Girls College Hostel, Secunderabad Contonment","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4408","Normal/Others","WS/MP18374/2024-2025/150312-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. B.C Girls College  Hostel, Karwan","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
