"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"3344","Normal/Others","WS/MP165/2023-2024/95916-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, Periyakarai for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3345","Normal/Others","WS/MP165/2023-2024/95917-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, Muthupattinam for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3346","Normal/Others","WS/MP165/2023-2024/95918-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, Thiruvegampathur for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3347","Normal/Others","WS/MP165/2023-2024/95919-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for M.V. Govt Higher Secondary School, Karaikkudi for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3348","Normal/Others","WS/MP165/2023-2024/95920-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, O. Siruvayal for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3349","Normal/Others","WS/MP165/2023-2024/95921-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Model Higher Secondary School, Kattukudipatti for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3350","Normal/Others","WS/MP165/2023-2024/95922-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, Eriyur for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3351","Normal/Others","WS/MP165/2023-2024/95923-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for R.M.R.N Govt Girls Higher Secondary School, Singampunari for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3352","Normal/Others","WS/MP165/2023-2024/95924-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, Thirukkoshtiyur for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3353","Normal/Others","WS/MP165/2023-2024/95925-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for N.M.Govt Girls Higher Secondary School, Thiruppathur for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3354","Normal/Others","WS/MP165/2023-2024/95926-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, Poolankurichi for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3355","Normal/Others","WS/MP165/2023-2024/95927-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, S. Velangudi for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3356","Normal/Others","WS/MP165/2023-2024/95928-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Sathappa Govt Higher Secondary School, Nerkuppai for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3357","Normal/Others","WS/MP165/2023-2024/95929-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, Kirungakottai for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3358","Normal/Others","WS/MP165/2023-2024/95930-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for Govt Higher Secondary School, V. Pudur for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3359","Normal/Others","WS/MP165/2023-2024/95931-Purchase Books for Library","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Books with Furnitures for T.A.S. Govt Higher Secondary School, Kottaiyur for the yaer 2023-24","03-Feb-2024","275000","08-Mar-2024"
"3360","Normal/Others","WS/MP165/2023-2024/95942-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Upgraded PHC at Kothamangalam, Alangudi Assembly Constitution, Pudukottai District for the year 2023-24","03-Feb-2024","12466239","20-Feb-2024"
"3361","Normal/Others","WS/MP165/2023-2024/95943-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Construction of a new building for MORTUARY in Govt District HQ Hospital, Karaikkudi for the year 2023-24","03-Feb-2024","8952413","15-Feb-2024"
"3362","Normal/Others","WS/MP165/2024-2025/96026-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Construction of Mini mast light at Ward No.2, Keelaperumal kovil north side","03-Feb-2024","491278","19-Jun-2024"
"3363","Normal/Others","WS/MP165/2024-2025/96027-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Construction of Mini mast light at Ward No.12, near Keelaperiya palli vasal","03-Feb-2024","491278","19-Jun-2024"
"3364","Normal/Others","WS/MP165/2024-2025/96028-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Construction of Mini mast light at Ward No.6, near Sellayi amman kovil","03-Feb-2024","477476","24-Jun-2024"
"3365","Normal/Others","WS/MP165/2024-2025/96029-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Construction of Mini mast light at Ward No.1, near Palaiyur Muthumariyamman kovil","03-Feb-2024","480591","24-Jun-2024"
"3366","Normal/Others","WS/MP165/2023-2024/96030-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Drainage at Velar street ward no 11","03-Feb-2024","1000000","16-Mar-2024"
"3367","Normal/Others","WS/MP165/2024-2025/96031-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Mini mast light at Govt hospital campus in ward no 14","03-Feb-2024","500000","19-Jun-2024"
"3368","Normal/Others","WS/MP165/2024-2025/96032-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Mini mast light near periya kovil in ward no 2","03-Feb-2024","500000","19-Jun-2024"
"3369","Normal/Others","WS/MP165/2024-2025/96033-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Bus shelter near Taluk office, opposite to weekly market in ward no 10","03-Feb-2024","600000","01-Jul-2024"
"3370","Normal/Others","WS/MP165/2024-2025/96034-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of pavor block road at Sakkarai ambalam street in ward no 10","03-Feb-2024","400000","01-Jul-2024"
"3371","Normal/Others","WS/MP165/2024-2025/96035-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Installing bore well and bathing tub at Karunanithi nagar in ward no 15","03-Feb-2024","550000","01-Jul-2024"
"3372","Normal/Others","WS/MP165/2024-2025/96036-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of cremation shed at Tahmbipatti burial ground in ward no 10","03-Feb-2024","450000","01-Jul-2024"
"3373","Normal/Others","WS/MP165/2024-2025/96037-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Providing Public drainage at SS nagar in ward no 14","03-Feb-2024","1000000","28-Jun-2024"
"3374","Normal/Others","WS/MP165/2024-2025/96038-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Mini mast light near Manickanatchiyamman kovil in ward no 5","03-Feb-2024","500000","19-Jun-2024"
"3375","Normal/Others","WS/MP165/2024-2025/96039-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Mini mast light at Naalan santhu street in ward no 8","03-Feb-2024","500000","19-Jun-2024"
"3376","Normal/Others","WS/MP165/2024-2025/96040-Construction of water tanks","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of OHT at Iluppakudi in ward no 1","03-Feb-2024","1000000","01-Jul-2024"
"3377","Normal/Others","WS/MP165/2024-2025/96071-Providing drains and gutters for public drainage","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of rain water drainage and culvert in Bajar main road (north side Bhuvaneswari mandabam - Mambalathan oorani keelkarai) in ward no 6","03-Feb-2024","1000000","24-Jun-2024"
"3378","Normal/Others","WS/MP165/2024-2025/96073-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of pavor block road at Office street, Govt Boys Higher secondary school in ward no 8","03-Feb-2024","1000000","26-Jul-2024"
"3379","Normal/Others","WS/MP165/2024-2025/96074-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of pavor block road at govt boys higher secondary school in ward no 3","03-Feb-2024","1000000","03-Dec-2024"
"3380","Normal/Others","WS/MP165/2024-2025/96075-Setting up of kitchen and pantries","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Kitchen shed and dining hall near sree Kailasanathar prasanna nayagi thirukkovil in Nedungudi village","03-Feb-2024","999985","11-Jun-2024"
"3381","Normal/Others","WS/MP165/2024-2025/96081-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Mini mast light near sree ram nagar out post police station in ward no 13","03-Feb-2024","486491","20-Jun-2024"
"3382","Normal/Others","WS/MP165/2024-2025/96082-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Mini mast light near main road, vasantha maligai bus stop in ward no 6","03-Feb-2024","500000","20-Jun-2024"
"3383","Normal/Others","WS/MP165/2023-2024/96083-Development of playfields and sports grounds","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of Basket ball ground at District Instituion of Education and Training centre in Kalayarkovil","03-Feb-2024","996348","05-Mar-2024"
"3384","Normal/Others","WS/MP165/2023-2024/96112-Construction of public libraries and reading rooms","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of New Library Building at Thirumayam","03-Feb-2024","20000000","20-Feb-2024"
"3385","Normal/Others","WS/MP138/2023-2024/96236-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction/Improvement of road from Play School to Paikasahi road via-Tota in village, G.P.- Nial, Block- AUL, Distt. Kendrapara","04-Feb-2024","500000","20-Feb-2024"
"3386","Normal/Others","WS/MP138/2023-2024/96237-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction/Improvement of road from Telipatana to Nial Soil ConservaOon Office in village – Nial, G.P.- Nial, Block- AUL, Distt. Kendrapara","04-Feb-2024","500000","20-Feb-2024"
"3387","Normal/Others","WS/MP138/2023-2024/96238-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction /C.C. road of Nalapahi Village road in Village-Nalapahi , G.P.-Ekamania Block- AUL, Distt. Kendrapara","04-Feb-2024","100000","02-Mar-2024"
"3388","Normal/Others","WS/MP138/2023-2024/96239-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction/C.C. road from R.D. road to Nrusingh Rout House in village- Athamania, G.P. Ekamania","04-Feb-2024","100000","02-Mar-2024"
"3389","Normal/Others","WS/MP138/2023-2024/96601-Purchase of hospital equipment","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation and required electrification of medical equipment for labor rooms at the rural medical center under MPLADS, a health-related project for mother and newborn baby care. Health Unit Name- CHC, BARI","04-Feb-2024","500000","29-Feb-2024"
"3390","Normal/Others","WS/MP138/2023-2024/96602-Purchase of hospital equipment","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation and required electrification of medical equipment for labor rooms at the rural medical center under MPLADS, a health-related project for mother and newborn baby care. Health Unit Name- PHC RATNAGIRI, Block Ratnagiri Place","04-Feb-2024","500000","29-Feb-2024"
"3391","Normal/Others","WS/MP138/2023-2024/96603-Purchase of hospital equipment","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","nstallation and required electrification of medical equipment for labor rooms at the rural medical center under MPLADS, a health-related project for mother and newborn baby care. Health Unit Name- PHC Balia, Block Bari, Place Balia","04-Feb-2024","500000","29-Feb-2024"
"3392","Normal/Others","WS/MP139/2023-2024/96922-Street lights","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Supply of LED lights to the streets of  all constituencies in Puducherry","05-Feb-2024","4278090","05-Feb-2024"
"3393","Normal/Others","WS/MP850/2023-2024/97008-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM HALLU MAJRA MEIN SUSHIL KE MAKAN SE HANUMAN MANDIR CHOWK TAK CC ROAD KA NIRMAN IA( KARYADAI SANSTATHA ) - NAGAR PANCHAYAT PADALI GUJJAR","05-Feb-2024","640157","08-Mar-2024"
"3394","Normal/Others","WS/MP850/2023-2024/97009-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM BADHERI MEIN MAIN ROAD ISRAR KE MAKAN SE INTZAR KE MAKAN TAK CC ROAD EVAM NALI KA NIRMAN KARYA ..  IA ( KARYADAI SANTATHA ) NAGAR PANCHAYAT PADALI GUJJAR","05-Feb-2024","621051","08-Mar-2024"
"3395","Normal/Others","WS/MP850/2023-2024/97010-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM - BOODPUR MEIN MANJU CHAUDHARY KE FARM HOUSE SE GATTA FACTORY TAK INTERLOCKING TILES ROAD EVAM NALI NIRMAN KARYA ..  IA( KARYADAI SANSTATHA ) - NAGAR PANCHAYAT PADALI GUJJAR","05-Feb-2024","992563","08-Mar-2024"
"3396","Normal/Others","WS/MP850/2023-2024/97011-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM BHARAMPURI KI SAHAJPURAM SOCIETY MEIN GALI NO - 6 MEIN CC ROAD NIRMAN. IA( KARYADAI SANSTATHA ) - NAGAR PANCHAYAT PADALI GUJJAR","05-Feb-2024","662978","08-Mar-2024"
"3397","Normal/Others","WS/MP182/2023-2024/97117-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","Construction of CC roads/Nali from Gaurav S/o Raghuveer Singh to ivash's House & Babu House to Dharmveer Harijan House","15-Feb-2024","1338600","13-Mar-2024"
"3398","Normal/Others","WS/MP103/2023-2024/97466-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Kachnariya District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3399","Normal/Others","WS/MP103/2023-2024/97467-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Kapeli JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3400","Normal/Others","WS/MP103/2023-2024/97468-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Kanardi JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3401","Normal/Others","WS/MP103/2023-2024/97469-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Raipura JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3402","Normal/Others","WS/MP103/2023-2024/97470-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Karanj JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3403","Normal/Others","WS/MP103/2023-2024/97471-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Khapra JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3404","Normal/Others","WS/MP103/2023-2024/97472-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Kaytah JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3405","Normal/Others","WS/MP103/2023-2024/97473-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Tilawad JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3406","Normal/Others","WS/MP103/2023-2024/97474-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Ajdawada JP Badnagar District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3407","Normal/Others","WS/MP103/2023-2024/97475-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Nawada JP Badnagar District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3408","Normal/Others","WS/MP103/2023-2024/97476-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP 	GP Molana ( Vikram Nagar) JP Badnagar District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3409","Normal/Others","WS/MP103/2023-2024/97477-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Jhitarkhedi JP Ghatiya District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3410","Normal/Others","WS/MP103/2023-2024/97478-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP 	GP Bormundla JP Ghatiya District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3411","Normal/Others","WS/MP103/2023-2024/97479-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP  kharsodkhurd JP Badnagar District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3412","Normal/Others","WS/MP103/2023-2024/97480-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP kharsodkalan JP Badnagar District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3413","Normal/Others","WS/MP103/2023-2024/97481-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP 	GP Amarpura JP Ghatiya District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3414","Normal/Others","WS/MP103/2023-2024/97482-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP 	GP Harsodan , JP Ujjain District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3415","Normal/Others","WS/MP103/2023-2024/97483-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP piplyaragho , JP Ujjain District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3416","Normal/Others","WS/MP103/2023-2024/97484-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP badhkummed , JP Ujjain District Ujjain","05-Feb-2024","205054","20-Feb-2024"
