"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2017","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP189/2025-2026/258117","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","29-May-2026","MAA SHARDA SHIKSHAN AVM PRASHIKSHAN SANSTHAN","Payment Success","1380000"
"2018","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP189/2025-2026/258117","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","01-Aug-2026","MAA SHARDA SHIKSHAN AVM PRASHIKSHAN SANSTHAN","Payment Success","920000"
"2019","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP189/2026-2027/281506","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","19-Jun-2026","MAA SHARDA SHIKSHAN AVM PRASHIKSHAN SANSTHAN","Payment Success","1620000"
"2020","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2025-2026/174621","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","18-Mar-2026","Gulab singh","Payment Success","520170"
"2021","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18331/2025-2026/236687","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","17-Mar-2026","SHIVANCHAL ENTERPRISES AND TRANING CENTER","Payment Success","743400"
"2022","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP096/2025-2026/181262","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","14-Mar-2026","IT PROFESSIONALS CO OPERATIVE SOCEITY","Payment Success","141750"
"2023","Madhya Pradesh","Development of playfields and sports grounds","WS/MP104/2025-2026/218146","PANNA(DISTRICT COLLECTOR PANNA_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","24-Mar-2026","E E M P H AND I D B DIV DAMOH","Payment Success","12000000"
"2024","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/255728","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","13-Mar-2026","VIJAYA KUMARA N","Payment Success","499448"
"2025","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/255730","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","13-Mar-2026","G BYLAPPA","Payment Success","499448"
"2026","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/255710","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","19-Jun-2026","G BYLAPPA","Payment Success","498434"
"2027","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2026-2027/263791","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","19-Jun-2026","G BYLAPPA","Payment Success","499286"
"2028","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2026-2027/263795","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","19-Jun-2026","G BYLAPPA","Payment Success","498885"
"2029","Uttar Pradesh","Street lights","WS/MP181/2025-2026/239788","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","02-Apr-2026","Jai Ambey Suppliers","Payment Success","1079800"
"2030","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/213135","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","17-Mar-2026","MAA SWANGIYA CONSTRUCTION COMPANY","Payment Success","1154437"
"2031","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/213135","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","28-May-2026","MAA SWANGIYA CONSTRUCTION COMPANY","Payment Success","345563"
"2032","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18295/2025-2026/218294","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","17-Mar-2026","MAA SWANGIYA CONSTRUCTION COMPANY","Payment Success","746119"
"2033","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18295/2025-2026/218294","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","28-May-2026","MAA SWANGIYA CONSTRUCTION COMPANY","Payment Success","253881"
"2034","Punjab","Street lights","WS/MP235/2025-2026/268736","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","23-Apr-2026","Shubham Electricals","Payment Success","44110"
"2035","Punjab","Street lights","WS/MP235/2025-2026/268736","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Mar-2026","Shubham Electricals","Payment Success","336840"
"2036","Punjab","Lighting of public spaces","WS/MP235/2025-2026/263612","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Mar-2026","Shubham Electricals","Payment Success","168420"
"2037","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/238161","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","13-May-2026","ROHIT KUMAR MISHRA","Payment Success","1451315"
"2038","Maharashtra","Construction of community centers and community halls","WS/MP18294/2026-2027/221017","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","22-Jun-2026","Madhura Chandrahas Mhatre","Payment Success","500000"
"2039","Maharashtra","Construction of community centers and community halls","WS/MP18294/2026-2027/221022","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","21-Apr-2026","Madhura Chandrahas Mhatre","Payment Success","500000"
"2040","Maharashtra","Construction of community centers and community halls","WS/MP18294/2025-2026/221027","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","16-Mar-2026","Madhura Chandrahas Mhatre","Payment Success","500000"
"2041","Maharashtra","Construction of community centers and community halls","WS/MP18294/2025-2026/221030","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","16-Mar-2026","Madhura Chandrahas Mhatre","Payment Success","500000"
"2042","Odisha","Construction of community centers and community halls","WS/MP131/2025-2026/192745","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","18-Mar-2026","MANO RANJAN MALLIK","Payment Success","300000"
"2043","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2025-2026/192735","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","25-Mar-2026","DIPTIMAYEE SAHOO","Payment Success","300000"
"2044","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18403/2025-2026/256901","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","16-Mar-2026","ARATHI GRAM PANCHAYAT","Payment Success","400000"
"2045","Haryana","Purchase of furniture and fixtures for educational purposes","WS/MP18425/2025-2026/247750","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","31-Mar-2026","The WAHEGURU COOP L AND C SOCIETY LTD","Payment Success","186677"
"2046","Haryana","Purchase of furniture and fixtures for educational purposes","WS/MP18425/2025-2026/247750","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","18-May-2026","The WAHEGURU COOP L AND C SOCIETY LTD","Payment Success","33602"
"2047","Punjab","Street lights","WS/MP235/2025-2026/268740","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Mar-2026","Bamrah Electrical co","Payment Success","200000"
"2048","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2025-2026/268748","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Bamrah Electrical co","Payment Success","3000"
"2049","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Bamrah Electrical co","Payment Success","36900"
"2050","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Billa Contractor","Payment Success","103700"
"2051","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Mar-2026","Billa Contractor","Payment Success","51900"
"2052","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Billa Contractor","Payment Success","63976"
"2053","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/165437","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","18-Mar-2026","GRAM PANCHAYAT KARYALAY KAUTHA TQ BILOLI","Payment Success","993425"
"2054","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2026-2027/160407","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","02-Jul-2026","GRAM PANCHAYAT KARYALAY KEDARKUNTHA TQ DEGLOOR","Payment Success","495062"
"2055","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2026-2027/228983","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","02-Jul-2026","GRAM PANCHAYAT KARYALAY KEDARKUNTHA TQ DEGLOOR","Payment Success","994343"
"2056","Maharashtra","Construction of community centers and community halls","WS/MP18286/2026-2027/228658","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","19-Jun-2026","Shriram Wadar Majur Sahakari Sanstha Maryadit","Payment Success","499999"
"2057","Maharashtra","Security gates in streets/public place for safety purpose","WS/MP18286/2026-2027/228659","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","22-Jun-2026","Shriram Wadar Majur Sahakari Sanstha Maryadit","Payment Success","499870"
"2058","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18427/2025-2026/247488","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","26-Mar-2026","BUTURU VENKATAKRISHNA REDDY","Payment Success","1596748"
"2059","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18427/2025-2026/244796","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","26-Mar-2026","BUTURU VENKATAKRISHNA REDDY","Payment Success","2415812"
"2060","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18427/2025-2026/245255","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","26-Mar-2026","BUTURU VENKATAKRISHNA REDDY","Payment Success","2496189"
"2061","Madhya Pradesh","Construction of shelters for animals","WS/MP18297/2025-2026/232673","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","24-Mar-2026","NAWAKHEDA","Payment Success","800000"
"2062","Gujarat","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18291/2025-2026/245566","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","18-Jun-2026","SHREE GANESH INFOTECH","Payment Success","2499804"
"2063","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/145292","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","19-May-2026","K MOHANRAJ","Payment Success","1216240"
"2064","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18297/2025-2026/259020","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","29-Jun-2026","SURJANWASA","Payment Success","600000"
"2065","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18297/2025-2026/244825","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","25-Mar-2026","GRAM PANCHAYAT BARUKHEDI","Payment Success","500000"
"2066","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268847","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","G JEWAN MALL SS SCHOOL ZIRA","Payment Success","600000"
"2067","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268778","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS SARAN WALI","Payment Success","100000"
"2068","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268779","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS ITTA WALI","Payment Success","100000"
"2069","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268780","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","GPS LAPPO","Payment Success","100000"
"2070","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268781","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS CHAK JAMIT SINGH WALA","Payment Success","100000"
"2071","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268815","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","GPS FATEHGARH GEHRI","Payment Success","100000"
"2072","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268817","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS CHANGA RAI","Payment Success","100000"
"2073","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268820","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS LALLE","Payment Success","100000"
"2074","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268821","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS MANU MASSHIAN","Payment Success","100000"
"2075","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268823","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS AMIR SHA WALA","Payment Success","100000"
"2076","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268827","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-May-2026","GPS BORAN WALI","Payment Success","100000"
"2077","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268828","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GSSS BEHAK GUJJRAN","Payment Success","800000"
"2078","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268830","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-May-2026","GMS JODHPUR","Payment Success","100000"
"2079","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268831","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Gps Chak Dona Rahime Ke","Payment Success","100000"
"2080","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268832","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS SAIDE KE NAUL","Payment Success","100000"
"2081","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268834","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","GPS ALFU KE","Payment Success","100000"
"2082","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268756","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS BASTI TAINKA WALI","Payment Success","100000"
"2083","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268758","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS ARIF KE","Payment Success","100000"
"2084","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268759","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","21-May-2026","GPS NIZAM WALA","Payment Success","100000"
"2085","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268760","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS GULAM HUSSAIN WALA","Payment Success","100000"
"2086","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268762","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS WAHGE WALA","Payment Success","100000"
"2087","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268763","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS KUTBE WALA","Payment Success","100000"
"2088","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268764","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS KAMALDIN","Payment Success","100000"
"2089","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268765","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","GPS KARMU WALA","Payment Success","100000"
"2090","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268766","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","28-May-2026","GPS KULGARI","Payment Success","100000"
"2091","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268767","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS LALLE Ghall khurd block","Payment Success","100000"
"2092","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268768","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS THETHAR KALAN","Payment Success","100000"
"2093","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268770","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS SADHU WALA","Payment Success","100000"
"2094","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268771","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS MASHI BUGRA","Payment Success","100000"
"2095","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268772","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS SULHANI","Payment Success","100000"
"2096","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268774","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS LOHAM","Payment Success","100000"
"2097","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268773","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-May-2026","GPS GHALL KHURAD","Payment Success","100000"
"2098","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268775","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS SULHANI","Payment Success","100000"
"2099","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268776","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS THETHAR KALAN","Payment Success","100000"
"2100","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268837","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GMS RATTA KHRA","Payment Success","100000"
"2101","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GMS SEHZADI","Payment Success","100000"
"2102","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS TALWANDI MANGE KHAN","Payment Success","100000"
"2103","Rajasthan","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18298/2025-2026/254941","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","14-May-2026","JHALANI MOTORS","Payment Success","91889"
"2104","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAJEEV BAHUGUNA","Payment Success","4740"
"2105","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAJEEV BAHUGUNA","Payment Success","6399"
"2106","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAHUL BHAUGUNA","Payment Success","6399"
"2107","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAHUL BHAUGUNA","Payment Success","4740"
