"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3072","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263872","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","07-Aug-2026","RAJKAMAL CONSTRUCTIONS","Payment Success","1816831"
"3073","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263881","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","18-Mar-2026","RAJKAMAL CONSTRUCTIONS","Payment Success","2109247"
"3074","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263881","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","07-Aug-2026","RAJKAMAL CONSTRUCTIONS","Payment Success","739687"
"3075","Assam","Construction of boundary walls of existing public and community buildings","WS/MP831/2026-2027/132657","TAMULPUR(IDA Tamulpur)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","06-Aug-2026","DURGA ENTERPRISE","Payment Success","600000"
"3076","Rajasthan","Construction of community centers and community halls","WS/MP148/2025-2026/202896","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Surajpal","Payment Success","1111758"
"3077","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP102/2025-2026/223594","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","06-Mar-2026","MUSTHAFA KAMAL K","Payment Success","810168"
"3078","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/279288","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-May-2026","Ranjeet Tile Industries","Payment Success","452830"
"3079","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290365","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","28-Jul-2026","Ranjeet Tile Industries","Payment Success","453750"
"3080","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Ranjeet Tile Industries","Payment Success","32460"
"3081","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Ranjeet Tile Industries","Payment Success","49000"
"3082","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Ranjeet Tile Industries","Payment Success","49000"
"3083","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/299132","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Tile Industries","Payment Success","39000"
"3084","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/299132","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Tile Industries","Payment Success","27720"
"3085","Punjab","Development of public parks","WS/MP235/2026-2027/299133","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Tile Industries","Payment Success","13800"
"3086","Punjab","Development of public parks","WS/MP235/2026-2027/299133","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Tile Industries","Payment Success","48750"
"3087","Punjab","Development of public parks","WS/MP235/2026-2027/299133","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Tile Industries","Payment Success","48885"
"3088","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274841","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","Ranjeet Tile Industries","Payment Success","25170"
"3089","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290374","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-Jul-2026","Ranjeet Tile Industries","Payment Success","202440"
"3090","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299125","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Ranjeet Tile Industries","Payment Success","302790"
"3091","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/299124","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Tile Industries","Payment Success","46800"
"3092","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/299124","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Tile Industries","Payment Success","37800"
"3093","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299126","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Ranjeet Tile Industries","Payment Success","171500"
"3094","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299127","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","14-Aug-2026","Ranjeet Tile Industries","Payment Success","262950"
"3095","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Ranjeet Tile Industries","Payment Success","39000"
"3096","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Ranjeet Tile Industries","Payment Success","37800"
"3097","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Ranjeet Tile Industries","Payment Success","31500"
"3098","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Ranjeet Tile Industries","Payment Success","39000"
"3099","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Ranjeet Tile Industries","Payment Success","39000"
"3100","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/288246","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Ranjeet Tile Industries","Payment Success","57750"
"3101","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","23-Jun-2026","Ranjeet Tile Industries","Payment Success","32200"
"3102","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","23-Jun-2026","Ranjeet Tile Industries","Payment Success","19136"
"3103","Punjab","Creation of new ponds","WS/MP235/2025-2026/274836","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Ranjeet Tile Industries","Payment Success","48750"
"3104","Punjab","Creation of new ponds","WS/MP235/2025-2026/274836","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Ranjeet Tile Industries","Payment Success","17500"
"3105","Punjab","Creation of new ponds","WS/MP235/2025-2026/274836","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Ranjeet Tile Industries","Payment Success","23560"
"3106","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/263610","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Ranjeet Tile Industries","Payment Success","38500"
"3107","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/263610","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Ranjeet Tile Industries","Payment Success","33540"
"3108","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/263610","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Ranjeet Tile Industries","Payment Success","45800"
"3109","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/263610","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Ranjeet Tile Industries","Payment Success","45800"
"3110","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/263610","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Ranjeet Tile Industries","Payment Success","45800"
"3111","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/263610","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Ranjeet Tile Industries","Payment Success","45800"
